,regions,product,year,value
339,Kyrgyzstan,        Refined petroleum products (Mb/d),1980,
340,Kyrgyzstan,            Distillate fuel oil (Mb/d),1980,
341,Kyrgyzstan,            Residual fuel oil (Mb/d),1980,
342,Laos,        Refined petroleum products (Mb/d),1980,
343,Laos,            Distillate fuel oil (Mb/d),1980,
344,Laos,            Residual fuel oil (Mb/d),1980,
345,Latvia,        Refined petroleum products (Mb/d),1980,
346,Latvia,            Distillate fuel oil (Mb/d),1980,
347,Latvia,            Residual fuel oil (Mb/d),1980,
348,Lebanon,        Refined petroleum products (Mb/d),1980,
349,Lebanon,            Distillate fuel oil (Mb/d),1980,
350,Lebanon,            Residual fuel oil (Mb/d),1980,
351,Lesotho,        Refined petroleum products (Mb/d),1980,
352,Lesotho,            Distillate fuel oil (Mb/d),1980,
353,Lesotho,            Residual fuel oil (Mb/d),1980,
354,Liberia,        Refined petroleum products (Mb/d),1980,
355,Liberia,            Distillate fuel oil (Mb/d),1980,
356,Liberia,            Residual fuel oil (Mb/d),1980,
357,Libya,        Refined petroleum products (Mb/d),1980,
358,Libya,            Distillate fuel oil (Mb/d),1980,
359,Libya,            Residual fuel oil (Mb/d),1980,
360,Lithuania,        Refined petroleum products (Mb/d),1980,
361,Lithuania,            Distillate fuel oil (Mb/d),1980,
362,Lithuania,            Residual fuel oil (Mb/d),1980,
363,Luxembourg,        Refined petroleum products (Mb/d),1980,0
364,Luxembourg,            Distillate fuel oil (Mb/d),1980,
365,Luxembourg,            Residual fuel oil (Mb/d),1980,0
366,Macau,        Refined petroleum products (Mb/d),1980,
367,Macau,            Distillate fuel oil (Mb/d),1980,
368,Macau,            Residual fuel oil (Mb/d),1980,
369,Madagascar,        Refined petroleum products (Mb/d),1980,
370,Madagascar,            Distillate fuel oil (Mb/d),1980,
371,Madagascar,            Residual fuel oil (Mb/d),1980,
372,Malawi,        Refined petroleum products (Mb/d),1980,
373,Malawi,            Distillate fuel oil (Mb/d),1980,
374,Malawi,            Residual fuel oil (Mb/d),1980,
375,Malaysia,        Refined petroleum products (Mb/d),1980,
376,Malaysia,            Distillate fuel oil (Mb/d),1980,
377,Malaysia,            Residual fuel oil (Mb/d),1980,
378,Maldives,        Refined petroleum products (Mb/d),1980,
379,Maldives,            Distillate fuel oil (Mb/d),1980,
380,Maldives,            Residual fuel oil (Mb/d),1980,
381,Mali,        Refined petroleum products (Mb/d),1980,
382,Mali,            Distillate fuel oil (Mb/d),1980,
383,Mali,            Residual fuel oil (Mb/d),1980,
384,Malta,        Refined petroleum products (Mb/d),1980,
385,Malta,            Distillate fuel oil (Mb/d),1980,
386,Malta,            Residual fuel oil (Mb/d),1980,
387,Martinique,        Refined petroleum products (Mb/d),1980,
388,Martinique,            Distillate fuel oil (Mb/d),1980,
389,Martinique,            Residual fuel oil (Mb/d),1980,
390,Mauritania,        Refined petroleum products (Mb/d),1980,
391,Mauritania,            Distillate fuel oil (Mb/d),1980,
392,Mauritania,            Residual fuel oil (Mb/d),1980,
393,Mauritius,        Refined petroleum products (Mb/d),1980,
394,Mauritius,            Distillate fuel oil (Mb/d),1980,
395,Mauritius,            Residual fuel oil (Mb/d),1980,
396,Mexico,        Refined petroleum products (Mb/d),1980,2
397,Mexico,            Distillate fuel oil (Mb/d),1980,
398,Mexico,            Residual fuel oil (Mb/d),1980,1
399,Micronesia,        Refined petroleum products (Mb/d),1980,
400,Micronesia,            Distillate fuel oil (Mb/d),1980,
401,Micronesia,            Residual fuel oil (Mb/d),1980,
402,Moldova,        Refined petroleum products (Mb/d),1980,
403,Moldova,            Distillate fuel oil (Mb/d),1980,
404,Moldova,            Residual fuel oil (Mb/d),1980,
405,Mongolia,        Refined petroleum products (Mb/d),1980,
406,Mongolia,            Distillate fuel oil (Mb/d),1980,
407,Mongolia,            Residual fuel oil (Mb/d),1980,
408,Montenegro,        Refined petroleum products (Mb/d),1980,
409,Montenegro,            Distillate fuel oil (Mb/d),1980,
410,Montenegro,            Residual fuel oil (Mb/d),1980,
411,Montserrat,        Refined petroleum products (Mb/d),1980,
412,Montserrat,            Distillate fuel oil (Mb/d),1980,
413,Montserrat,            Residual fuel oil (Mb/d),1980,
414,Morocco,        Refined petroleum products (Mb/d),1980,
415,Morocco,            Distillate fuel oil (Mb/d),1980,
416,Morocco,            Residual fuel oil (Mb/d),1980,
417,Mozambique,        Refined petroleum products (Mb/d),1980,
418,Mozambique,            Distillate fuel oil (Mb/d),1980,
419,Mozambique,            Residual fuel oil (Mb/d),1980,
420,Namibia,        Refined petroleum products (Mb/d),1980,
421,Namibia,            Distillate fuel oil (Mb/d),1980,
422,Namibia,            Residual fuel oil (Mb/d),1980,
423,Nauru,        Refined petroleum products (Mb/d),1980,
424,Nauru,            Distillate fuel oil (Mb/d),1980,
425,Nauru,            Residual fuel oil (Mb/d),1980,
426,Nepal,        Refined petroleum products (Mb/d),1980,
427,Nepal,            Distillate fuel oil (Mb/d),1980,
428,Nepal,            Residual fuel oil (Mb/d),1980,
429,Netherlands,        Refined petroleum products (Mb/d),1980,155
430,Netherlands,            Distillate fuel oil (Mb/d),1980,
431,Netherlands,            Residual fuel oil (Mb/d),1980,129
432,Netherlands Antilles,        Refined petroleum products (Mb/d),1980,
433,Netherlands Antilles,            Distillate fuel oil (Mb/d),1980,
434,Netherlands Antilles,            Residual fuel oil (Mb/d),1980,
435,New Caledonia,        Refined petroleum products (Mb/d),1980,
436,New Caledonia,            Distillate fuel oil (Mb/d),1980,
437,New Caledonia,            Residual fuel oil (Mb/d),1980,
438,New Zealand,        Refined petroleum products (Mb/d),1980,11
439,New Zealand,            Distillate fuel oil (Mb/d),1980,
440,New Zealand,            Residual fuel oil (Mb/d),1980,4
441,Nicaragua,        Refined petroleum products (Mb/d),1980,
442,Nicaragua,            Distillate fuel oil (Mb/d),1980,
443,Nicaragua,            Residual fuel oil (Mb/d),1980,
444,Niger,        Refined petroleum products (Mb/d),1980,
445,Niger,            Distillate fuel oil (Mb/d),1980,
446,Niger,            Residual fuel oil (Mb/d),1980,
447,Nigeria,        Refined petroleum products (Mb/d),1980,
448,Nigeria,            Distillate fuel oil (Mb/d),1980,
449,Nigeria,            Residual fuel oil (Mb/d),1980,
450,Niue,        Refined petroleum products (Mb/d),1980,
451,Niue,            Distillate fuel oil (Mb/d),1980,
452,Niue,            Residual fuel oil (Mb/d),1980,
453,North Korea,        Refined petroleum products (Mb/d),1980,
454,North Korea,            Distillate fuel oil (Mb/d),1980,
455,North Korea,            Residual fuel oil (Mb/d),1980,
456,North Macedonia,        Refined petroleum products (Mb/d),1980,
457,North Macedonia,            Distillate fuel oil (Mb/d),1980,
458,North Macedonia,            Residual fuel oil (Mb/d),1980,
